payCardBank,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,date,hour,day_of_week,is_weekend,trip_duration_min,trip_distance_km,avg_speed_kmh
dki,JAK.02,Kampung Melayu - Duren Sawit,0.0,B05023P,Simpang Pahlawan Revolusi 1,-6.238658,106.899461,28,2023-04-03 05:43:14,B03135P,RS Duren Sawit 2,-6.232262,106.91019,39.0,2023-04-03 06:12:52,0.0,2023-04-03,5,Monday,0,29.633333333333333,1.3828566590067572,2.7999347426458527
dki,11,Pulo Gebang - Matraman,0.0,P00233,St. Jatinegara 2,-6.215601,106.86805,13,2023-04-03 05:48:55,P00086,Jatinegara RS Premier,-6.221412,106.86807,14.0,2023-04-03 06:33:42,3500.0,2023-04-03,5,Monday,0,44.78333333333333,0.6461575008660245,0.8657115754066573
flazz,1C,Pesanggrahan - Blok M,0.0,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529,1,2023-04-03 06:00:19,B00147P,Bintaro Park VIew,-6.257977,106.75969,5.0,2023-04-03 06:23:52,3500.0,2023-04-03,6,Monday,0,23.55,0.621393729854066,1.5831687384816968
dki,3B,Rusun Flamboyan - Cengkareng,0.0,B06299P,Jln. Kayu Besar Dalam,-6.122739,106.73129,2,2023-04-03 05:49:39,B02195P,Mall Taman Palem 3,-6.140548,106.73011,6.0,2023-04-03 06:42:12,0.0,2023-04-03,5,Monday,0,52.55,1.9845631000172848,2.2659141008760626
emoney,R1A,Pantai Maju - Kota,0.0,B06040P,Pantai Maju,-6.093637,106.75068,0,2023-04-03 05:45:14,B03322P,SD Diakonia 1,-6.112155,106.7893,23.0,2023-04-03 06:22:28,3500.0,2023-04-03,5,Monday,0,37.233333333333334,4.740560187850159,7.63921964022407
online,M1,Blok M - Kota,0.0,P00183,Polda Metro Jaya,-6.221094,106.81028,5,2023-04-03 06:15:29,P00104,Karet Sudirman,-6.212457,106.82003,7.0,2023-04-03 06:50:32,3500.0,2023-04-03,6,Monday,0,35.05,1.4435889149073042,2.471193577587397
dki,7E,Kampung Rambutan - Ragunan,0.0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,2023-04-03 05:11:09,B02868P,Plaza Oleos,-6.29771,106.82965,17.0,2023-04-03 05:38:49,3500.0,2023-04-03,5,Monday,0,27.666666666666668,0.46321309002531624,1.0045585084886375
dki,1P,Senen - Blok M,0.0,B00102P,Balai Kota 1,-6.180598,106.82847,12,2023-04-03 06:26:34,B00221P,Bundaran Senayan 1,-6.227445,106.80187,29.0,2023-04-03 06:51:21,3500.0,2023-04-03,6,Monday,0,24.783333333333335,5.981768072505952,14.481751890397732
emoney,7D,Pancoran - Kampung Rambutan,0.0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,2023-04-03 06:44:26,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13.0,2023-04-03 07:28:00,3500.0,2023-04-03,6,Monday,0,43.56666666666667,1.577354232150937,2.172331765777878
emoney,6H,Senen - Lebak Bulus,1.0,P00128,Lebak Bulus,-6.289413,106.77415,0,2023-04-03 05:12:22,P00121,Kuningan Timur,-6.234731,106.82902,15.0,2023-04-03 05:35:33,3500.0,2023-04-03,5,Monday,0,23.183333333333334,8.587976124734675,22.2262502149855
dki,14,Jakarta International Stadium - Senen,1.0,B01311P,Jln. Kwitang Timur,-6.173788,106.85185,2,2023-04-03 06:47:20,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3.0,2023-04-03 07:34:23,3500.0,2023-04-03,6,Monday,0,47.05,0.3674977793378868,0.46864754006956877
flazz,BW9,Monas - Pantai Indah Kapuk,1.0,B02476P,Monas 2,-6.175999,106.82311,7,2023-04-03 06:29:57,B02477P,Monas 3,-6.178787,106.82304,8.0,2023-04-03 07:24:08,0.0,2023-04-03,6,Monday,0,54.18333333333333,0.31010802331898485,0.34339861087306844
flazz,JIS3,Harmoni - Jakarta International Stadium,0.0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,2023-04-03 06:32:51,P00161,Pecenongan,-6.16771,106.82819,12.0,2023-04-03 07:20:21,3500.0,2023-04-03,6,Monday,0,47.5,3.357900395195691,4.2415583939314
dki,5M,,1.0,B02994P,PTUN Jakarta,-6.196388,106.84025,16,2023-04-03 05:29:43,B05707P,Term. Kampung Melayu 2,-6.224516,106.86685,30.0,2023-04-03 05:58:35,3500.0,2023-04-03,5,Monday,0,28.866666666666667,4.292849680148973,8.92278224511334
dki,2,,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 05:28:22,P00137,Monas,-6.176248,106.82286,19.0,2023-04-03 06:02:36,3500.0,2023-04-03,5,Monday,0,34.233333333333334,3.903224263201461,6.841094132193407
flazz,JAK.15,Bulak Turi - Tanjung Priok,0.0,B02761P,Pertamina Kilang Minyak,-6.108789,106.90537,41,2023-04-03 05:12:53,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,50.0,2023-04-03 05:50:10,0.0,2023-04-03,5,Monday,0,37.28333333333333,2.0127444983212226,3.2391060321664735
emoney,R1A,Pantai Maju - Kota,1.0,,Jln. BB Utara,-6.120279,106.79409,12,2023-04-03 06:50:06,B00242P,Centro Metro Broadway,-6.116362,106.76143,29.0,2023-04-03 07:30:53,3500.0,2023-04-03,6,Monday,0,40.78333333333333,3.6371133826389577,5.350881968737331
dki,6N,Ragunan - Blok M via Kemang,0.0,B00039P,Ampera Garden,-6.288794,106.81818,6,2023-04-03 05:43:45,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,10.0,2023-04-03 06:19:50,3500.0,2023-04-03,5,Monday,0,36.083333333333336,1.0568661325327868,1.7573755552508232
dki,M11,Pulo Gebang - Pulo Gadung 2,0.0,P00102,Kampung Sumur,-6.214412,106.91189,6,2023-04-03 06:02:30,P00058,Flyover Klender,-6.213596,106.90306,7.0,2023-04-03 06:30:30,3500.0,2023-04-03,6,Monday,0,28.0,0.9802905940331199,2.1006227014995424
dki,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,B01067P,Jln. Gading Mas Barat IV,-6.167384,106.91019,14,2023-04-03 06:59:14,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001,17.0,2023-04-03 07:32:35,0.0,2023-04-03,6,Monday,0,33.35,0.37403346793444187,0.6729237803917993
emoney,9N,Pinang Ranti - Pramuka,0.0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-03 05:49:25,P00016,BKN,-6.257751,106.87,2.0,2023-04-03 06:39:28,3500.0,2023-04-03,5,Monday,0,50.05,3.8083452367014337,4.565448835206515
dki,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,B03675P,Sbr. Jln. Cikoko Timur I,-6.244364,106.85867,19,2023-04-03 05:04:52,B05440P,St. Duren Kalibata 4,-6.255071,106.85506,23.0,2023-04-03 05:47:58,0.0,2023-04-03,5,Monday,0,43.1,1.2556536937433538,1.7480097824733463
dki,JAK.42,Kampung Melayu - Pondok Kelapa,1.0,B03484P,Sbr. Dirjen Anggaran,-6.227253,106.898692,18,2023-04-03 05:35:17,B03953P,Sbr. Klinik Win Medika,-6.22016,106.89843,22.0,2023-04-03 05:56:59,0.0,2023-04-03,5,Monday,0,21.7,0.7892371680099759,2.1822225843593803
dki,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 06:35:17,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-03 07:17:52,3500.0,2023-04-03,6,Monday,0,42.583333333333336,3.3769336618388555,4.758106138011694
emoney,13,Ciledug - Tendean,1.0,P00044,CSW 1,-6.23994,106.79843,3,2023-04-03 05:51:57,P00268,Velbak,-6.239433,106.78552,5.0,2023-04-03 06:16:13,3500.0,2023-04-03,5,Monday,0,24.266666666666666,1.4281354824235468,3.531104214783495
emoney,7P,Pondok Kelapa - BKN,1.0,B02032P,Komplek Dolog Jaya,-6.24794,106.91572,15,2023-04-03 06:08:12,B01624P,Jln. Swakarsa III Pondok Kelapa,-6.244759,106.94249,30.0,2023-04-03 06:40:53,3500.0,2023-04-03,6,Monday,0,32.68333333333333,2.9800821404451963,5.470829018665327
brizzi,JAK.02,Kampung Melayu - Duren Sawit,0.0,B02665P,Ps. Pondok Bambu 1,-6.238102,106.90243,29,2023-04-03 06:36:49,B00636P,Gereja Santa Anna 1,-6.233953,106.90998,33.0,2023-04-03 07:13:58,0.0,2023-04-03,6,Monday,0,37.15,0.9535839434339299,1.5401086569592408
flazz,11,Pulo Gebang - Matraman,1.0,P00151,Pasar Enjo,-6.214881,106.87819,3,2023-04-03 05:13:45,P00080,Imigrasi Jakarta Timur,-6.214632,106.88227,4.0,2023-04-03 06:02:58,3500.0,2023-04-03,5,Monday,0,49.21666666666667,0.45185817591356897,0.5508599503179303
emoney,JAK.36,Cilangkap - Cililitan,0.0,B02638P,Ps. Kramat Jati 2,-6.269037,106.86664,40,2023-04-03 05:58:04,B01428P,Jln. Olahraga 1 Raya Bogor,-6.267006,106.86595,41.0,2023-04-03 06:39:16,0.0,2023-04-03,5,Monday,0,41.2,0.23836690740979613,0.34713627292688753
dki,13B,Puri Beta - Pancoran Barat,1.0,P00106,Kebayoran Lama,-6.23834,106.77752,8,2023-04-03 06:33:41,P00096,JORR,-6.236104,106.75488,12.0,2023-04-03 07:29:36,3500.0,2023-04-03,6,Monday,0,55.916666666666664,2.5148719355226556,2.6985213019021046
dki,1Q,Rempoa - Blok M,1.0,B02540P,One Park Residences,-6.245436,106.78844,9,2023-04-03 06:51:28,B00959P,Jln. Bungur,-6.247708,106.7814,11.0,2023-04-03 07:29:33,3500.0,2023-04-03,6,Monday,0,38.083333333333336,0.818147015353918,1.2889843567939188
dki,JAK.06,Kampung Rambutan - Pondok Gede,0.0,B01301P,Jln. Kramat Lubang Buaya,-6.291363,106.90599,12,2023-04-03 05:37:47,B02767P,Pertigaan Cedang 1,-6.301603,106.9125,24.0,2023-04-03 06:06:12,0.0,2023-04-03,5,Monday,0,28.416666666666668,1.3469187110071448,2.8439339352643525
dki,JAK.14,Tanah Abang - Meruya,1.0,B01875P,Kec. Kembangan,-6.195068,106.74247,7,2023-04-03 05:33:47,B01180P,Jln. Jeruk Manis,-6.197439,106.76534,18.0,2023-04-03 06:13:36,0.0,2023-04-03,5,Monday,0,39.81666666666667,2.5418811301040773,3.8303775924548673
emoney,M7,Kampung Rambutan - Monas,0.0,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,2023-04-03 05:43:23,P00025,Bundaran HI,-6.193021,106.823,24.0,2023-04-03 06:16:38,3500.0,2023-04-03,5,Monday,0,33.25,6.048469832478249,10.914532028532177
dki,JAK.15,Bulak Turi - Tanjung Priok,0.0,B05351P,SMPN 143,-6.108442,106.93549,16,2023-04-03 05:15:03,B01325P,Jln. Lorong 22,-6.108141,106.89932,44.0,2023-04-03 05:51:14,0.0,2023-04-03,5,Monday,0,36.18333333333333,3.999226323799031,6.631605143102954
online,T21,,1.0,B00589P,GBK Pintu 7,-6.222095,106.80861,3,2023-04-03 05:43:48,B02556P,Palem Semi 1,-6.218812,106.61807,14.0,2023-04-03 06:09:12,20000.0,2023-04-03,5,Monday,0,25.4,21.06550233675499,49.761029141940924
emoney,12A,,0.0,B05324P,SMKN 56,-6.119094,106.79423,9,2023-04-03 06:13:03,P00138,Museum Fatahillah,-6.13393,106.81209,18.0,2023-04-03 06:50:23,3500.0,2023-04-03,6,Monday,0,37.333333333333336,2.573035469650266,4.135235576223642
dki,9D,Pasar Minggu - Tanah Abang,0.0,B00693P,Grand Pasar Minggu,-6.290648,106.84236,45,2023-04-03 06:46:54,B02647P,Pasar Minggu,-6.284413,106.84414,47.0,2023-04-03 07:09:23,3500.0,2023-04-03,6,Monday,0,22.483333333333334,0.7206737205763697,1.9232211964973542
emoney,1,Blok M - Kota,1.0,P00104,Karet Sudirman,-6.212457,106.82003,14,2023-04-03 06:20:11,P00133,Masjid Agung,-6.236483,106.79845,19.0,2023-04-03 07:10:56,3500.0,2023-04-03,6,Monday,0,50.75,3.5815650417849194,4.234362610977245
dki,3A,Rusun Pesakih - Kalideres,1.0,B02760P,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,2023-04-03 06:38:56,B03286P,Rusun Pesakih,-6.161468,106.71698,4.0,2023-04-03 07:03:11,0.0,2023-04-03,6,Monday,0,24.25,1.066048626421888,2.6376460859923
emoney,6N,Ragunan - Blok M via Kemang,1.0,B04209P,Sbr. Plaza Kemang 88,-6.270024,106.81553,12,2023-04-03 06:51:56,B03197P,RSIA Kemang,-6.285839,106.8188,18.0,2023-04-03 07:17:19,3500.0,2023-04-03,6,Monday,0,25.383333333333333,1.7953048910907026,4.243662250772507
dki,3C,Rusun Kapuk Muara - Penjaringan,1.0,P00170,Penjaringan,-6.126306,106.79203,0,2023-04-03 06:16:29,B03277P,Rusun Kapuk Muara,-6.135667,106.76299,1.0,2023-04-03 07:11:37,0.0,2023-04-03,6,Monday,0,55.13333333333333,3.3751469670650067,3.673074087495171
emoney,M8,Lebak Bulus - Pasar Baru,0.0,P00245,Tanah Kusir Kodim,-6.256997,106.78168,20,2023-04-03 05:19:06,P00184,Pondok Indah 1,-6.286761,106.77999,22.0,2023-04-03 05:47:40,3500.0,2023-04-03,5,Monday,0,28.566666666666666,3.3148729655005487,6.9623936264889
emoney,B21,Bekasi Timur - Cawang,1.0,B02263P,Masjid Amar Maruf 2,-6.255062,107.02206,7,2023-04-03 05:02:15,B05622P,Taman Margahayu 2,-6.24846,107.02153,10.0,2023-04-03 05:57:31,3500.0,2023-04-03,5,Monday,0,55.266666666666666,0.7364426888098611,0.7995155849564234
dki,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-03 06:12:41,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-03 07:12:09,3500.0,2023-04-03,6,Monday,0,59.46666666666667,1.3082352736489256,1.31996832543053
emoney,JAK.71,Kampung Rambutan - Pinang Ranti,0.0,B03360P,SDN Dukuh 01,-6.287794,106.87406,18,2023-04-03 05:12:37,B04218P,Sbr. Polsek Makasar,-6.29086,106.8844,21.0,2023-04-03 06:06:48,0.0,2023-04-03,5,Monday,0,54.18333333333333,1.1926030932566933,1.3206309245537053
brizzi,JAK.77,Tanjung Priok - Jembatan Item,0.0,B06877P,Simpang Jln. Cemara,-6.12663,106.85721,1,2023-04-03 05:11:15,B06065P,Puskesmas Sunter Agung I,-6.132513,106.85557,9.0,2023-04-03 05:35:24,0.0,2023-04-03,5,Monday,0,24.15,0.6788231597531722,1.6865171670886268
dki,M3,,1.0,P00237,Sumur Bor,-6.153046,106.71929,2,2023-04-03 06:49:46,P00009,Bank Indonesia Arah Selatan,-6.184784,106.82326,14.0,2023-04-03 07:21:09,3500.0,2023-04-03,6,Monday,0,31.383333333333333,12.023577873248048,22.98719083573711
dki,JAK.44,Andara - Stasiun Universitas Pancasila,0.0,B04386P,Sbr. Sekolah Islam Al Azhar Jagakarsa,-6.330035,106.82621,25,2023-04-03 05:50:00,B06832P,Gg. H. Ali,-6.327369,106.833219,34.0,2023-04-03 06:37:49,0.0,2023-04-03,5,Monday,0,47.81666666666667,0.8294030922038438,1.0407288713606964
flazz,14,Jakarta International Stadium - Senen,0.0,B00292P,Danau Agung 1,-6.147281,106.8582,8,2023-04-03 06:42:45,B00770P,Honda Letjen Suprapto,-6.174933,106.84973,16.0,2023-04-03 07:08:03,3500.0,2023-04-03,6,Monday,0,25.3,3.214182884564858,7.622568105687409
flazz,JAK.48B,Stasiun Tebet - Kampung Melayu,0.0,B02272P,Masjid As Sudairi,-6.220626,106.8591,1,2023-04-03 06:12:01,B01732P,Jatinegara Timur,-6.220486,106.86825,11.0,2023-04-03 06:57:35,,2023-04-03,6,Monday,0,45.56666666666667,1.011562877904071,1.331977454445741
online,8K,Batusari - Grogol,1.0,B05177P,Simpang Tj. Duren Timur 5,-6.180482,106.78375,12,2023-04-03 06:41:08,B03637P,Sbr. Jln. Angsana Kemanggisan,-6.194813,106.78213,16.0,2023-04-03 07:20:00,3500.0,2023-04-03,6,Monday,0,38.86666666666667,1.6035660583638767,2.475487911710959
emoney,JAK.19,Pinang Ranti - Kampung Rambutan,0.0,B00563P,Gg. Suka Damai,-6.295718,106.89906,14,2023-04-03 05:57:05,B01297P,Jln. Kramat I Rawabinong,-6.298205,106.9054,27.0,2023-04-03 06:49:41,0.0,2023-04-03,5,Monday,0,52.6,0.7533176341531604,0.859297681543529
emoney,M10,PGC 2 - Tanjung Priok,1.0,P00287,Permai Koja Arah Selatan,-6.114359,106.89314,2,2023-04-03 05:59:19,P00105,Kayu Putih Rawasari,-6.187453,106.87542,10.0,2023-04-03 06:47:17,3500.0,2023-04-03,5,Monday,0,47.96666666666667,8.360443518044045,10.457816770312217
dki,10D,Kampung Rambutan - Tanjung Priok,1.0,P00036,Cempaka Putih,-6.174207,106.87642,9,2023-04-03 06:03:33,P00182,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13.0,2023-04-03 06:28:37,3500.0,2023-04-03,6,Monday,0,25.066666666666666,5.431651187675954,13.001292736458403
dki,JAK.75,Cililitan - Kp. Pulo,0.0,B00671P,Graha Dirgantara,-6.255702,106.88296,4,2023-04-03 05:42:25,B03786P,Sbr. Jln. Masjid Al Munir,-6.271471,106.87734,25.0,2023-04-03 06:21:13,0.0,2023-04-03,5,Monday,0,38.8,1.8602143542193834,2.8766201353907994
brizzi,B11,Summarecon Bekasi - BNN,0.0,B01728P,Jatibening 1,-6.257161,106.94651,5,2023-04-03 06:08:56,B00232P,Cawang Blue Bird,-6.248836,106.87801,6.0,2023-04-03 06:41:37,3500.0,2023-04-03,6,Monday,0,32.68333333333333,7.627915168749643,14.003311885516938
dki,JAK.52,Terminal Kalideres - Terminal Muara Angke,0.0,B01829P,Karang Asri,-6.112414,106.77306,26,2023-04-03 05:21:39,B05714P,Term. Muara Angke 2,-6.109001,106.77349,27.0,2023-04-03 06:12:00,0.0,2023-04-03,5,Monday,0,50.35,0.38247456585433354,0.4557790258442902
dki,JAK.37,Cililitan - Condet via Kayu Manis,0.0,B00908P,Jln. Batu Permata V,-6.279588,106.86244,12,2023-04-03 05:36:10,B04716P,Simpang Batu Ampar IV Inerbang,-6.28148,106.86361,14.0,2023-04-03 06:25:54,0.0,2023-04-03,5,Monday,0,49.733333333333334,0.24694742318368648,0.2979258456639649
brizzi,JAK.31,Blok M - Andara,0.0,B03711P,Sbr. Jln. H. Jian 2B Cipete,-6.264625,106.8043,18,2023-04-03 06:07:43,B05388P,SMPN 68,-6.278279,106.79964,30.0,2023-04-03 06:44:41,0.0,2023-04-03,6,Monday,0,36.96666666666667,1.6032449151668173,2.6022009443645366
online,11M,Rusun Rawa Bebek - Bukit Duri,0.0,P00169,Penggilingan,-6.214132,106.93961,2,2023-04-03 05:32:18,P00174,Perumnas Klender,-6.216689,106.93054,3.0,2023-04-03 06:27:22,0.0,2023-04-03,5,Monday,0,55.06666666666667,1.0421454379298756,1.1355095570664504
online,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,B06086P,Tebet Eco Park Selatan 3,-6.241699,106.85365,1,2023-04-03 06:23:34,B06268P,Rusun Harum Tebet,-6.235196,106.85195,4.0,2023-04-03 07:14:33,0.0,2023-04-03,6,Monday,0,50.983333333333334,0.7471180644959585,0.8792497653433967
bni,2F,Rusun Cakung Barat - Pulo Gadung,1.0,B06183P,Jln. Anggrek Raya,-6.205168,106.9229,8,2023-04-03 05:13:09,P00191,PTC Pulo Gadung,-6.182622,106.91561,15.0,2023-04-03 06:04:38,0.0,2023-04-03,5,Monday,0,51.483333333333334,2.63334276535565,3.0689653464811717
dki,M11,,1.0,P00158,Pasar Pulo Gadung,-6.187434,106.90591,0,2023-04-03 06:23:36,,Walikota Jakarta Timur,-6.21254,106.94537,7.0,2023-04-03 06:52:14,3500.0,2023-04-03,6,Monday,0,28.633333333333333,5.178916315241041,10.852211137874127
